gene,cosine_Stim8hr,pearson_8,n_downstream_8,cosine_Stim48hr,pearson_48,n_downstream_48,cosine_mean,cosine_min,n_downstream_max,rank,n_downstream_Stim8hr,n_downstream_Stim48hr,nd_min,anchor
CHD4,0.31225462789870007,0.3170204343863482,1516,0.10809278881698386,0.10884964319068476,416,0.21017370835784197,0.10809278881698386,1516,59,1516.0,416.0,416.0,STAT6
CCDC134,0.14724685831345524,0.14717995453759064,31,0.26975803371413193,0.27105607514078,111,0.20850244601379359,0.14724685831345524,111,60,31.0,111.0,31.0,STAT6
MED23,0.1340053264461878,0.1367399432233346,1011,0.2819614979109247,0.28287000397451045,366,0.20798341217855623,0.1340053264461878,1011,61,1011.0,366.0,366.0,STAT6
UBE2L3,0.22077924412871658,0.231457778163463,2873,0.1948086107635299,0.19923052785602036,1070,0.20779392744612324,0.1948086107635299,2873,62,2873.0,1070.0,1070.0,STAT6
USP7,0.16079517994515186,0.17287041885433155,1536,0.253151071844108,0.25809409878211526,1246,0.20697312589462993,0.16079517994515186,1536,63,1536.0,1246.0,1246.0,STAT6
EPC1,0.06494849396003319,0.06495415083046041,443,0.3469852194970332,0.3469734916284285,89,0.2059668567285332,0.06494849396003319,443,64,443.0,89.0,89.0,STAT6
EIF1,0.091220361904964,0.09127427967810696,731,0.32027450139419433,0.32133560020408763,504,0.20574743164957918,0.091220361904964,731,65,731.0,504.0,504.0,STAT6
ELP3,0.22347448758166266,0.2235082467952909,995,0.18794180884695233,0.18793132291252782,187,0.2057081482143075,0.18794180884695233,995,66,995.0,187.0,187.0,STAT6
ELP4,0.2219909290363531,0.2254823257728707,191,0.1878927811073416,0.1910983226130828,75,0.20494185507184734,0.1878927811073416,191,67,191.0,75.0,75.0,STAT6
NCKAP1L,0.23338532343392737,0.2360198235078512,1358,0.1755897046915687,0.17591973655738727,589,0.20448751406274804,0.1755897046915687,1358,68,1358.0,589.0,589.0,STAT6
COG6,0.18907477428812874,0.19527361094981036,1161,0.2198666220021244,0.22169743021466284,671,0.20447069814512658,0.18907477428812874,1161,69,1161.0,671.0,671.0,STAT6
PPIL1,0.22431884352264397,0.22818214150545058,506,0.18340854888075425,0.18367424467746643,113,0.2038636962016991,0.18340854888075425,506,70,506.0,113.0,113.0,STAT6
COQ6,0.2498655039894925,0.250971547657817,228,0.15756621500374093,0.15841477786343833,799,0.20371585949661672,0.15756621500374093,799,71,228.0,799.0,228.0,STAT6
FAM204A,0.11212328518199081,0.11365057909686649,139,0.29509253454027046,0.2950421508328393,71,0.20360790986113064,0.11212328518199081,139,72,139.0,71.0,71.0,STAT6
URM1,0.29463329506321184,0.2946517230642755,437,0.1105161451170875,0.11072522951612537,52,0.20257472009014968,0.1105161451170875,437,73,437.0,52.0,52.0,STAT6
ATP1B3,0.20330112636803904,0.2117836082424443,215,0.20106809731539357,0.20648860816127773,161,0.20218461184171632,0.20106809731539357,215,74,215.0,161.0,161.0,STAT6
IMMP2L,0.21807042247445624,0.21799847918686902,154,0.1824769121984789,0.18338815095774985,196,0.20027366733646756,0.1824769121984789,196,75,154.0,196.0,154.0,STAT6
