gene,cosine_Stim8hr,pearson_8,n_downstream_8,cosine_Stim48hr,pearson_48,n_downstream_48,cosine_mean,cosine_min,n_downstream_max,rank,n_downstream_Stim8hr,n_downstream_Stim48hr,nd_min,anchor
ZCCHC8,0.21131828432922725,0.21472182449777588,118,0.21948320391384044,0.21283399745975243,127,0.21540074412153384,0.21131828432922725,127,45,118.0,127.0,118.0,GATA3
SGF29,0.16016022526262805,0.1882567394219646,4047,0.2696412793738103,0.28503053132313017,4868,0.2149007523182192,0.16016022526262805,4868,46,4047.0,4868.0,4047.0,GATA3
EARS2,0.24213496153701902,0.23987824332808794,276,0.18514024119016714,0.19137363760153644,407,0.21363760136359308,0.18514024119016714,407,47,276.0,407.0,276.0,GATA3
CHIC2,0.20970562481626495,0.19927706787041738,74,0.21618783239234016,0.21042941553889388,58,0.21294672860430255,0.20970562481626495,74,48,74.0,58.0,58.0,GATA3
VIM,0.1911657641923568,0.18876445200490558,37,0.2346777225558974,0.22734275205986257,29,0.21292174337412711,0.1911657641923568,37,49,37.0,29.0,29.0,GATA3
YEATS2,0.17178405088959708,0.17516018587792895,504,0.2513323700416357,0.2610577453496676,697,0.2115582104656164,0.17178405088959708,697,50,504.0,697.0,504.0,GATA3
GCN1,0.16374512278532835,0.15455322708801394,68,0.2586763722076366,0.24433357512935402,277,0.2112107474964825,0.16374512278532835,277,51,68.0,277.0,68.0,GATA3
NSD1,0.1018369922313737,0.09983830856729409,1993,0.3201438521070063,0.3150820808810866,2174,0.21099042216919,0.1018369922313737,2174,52,1993.0,2174.0,1993.0,GATA3
TM2D1,0.2112929582156542,0.20938383536021443,333,0.2087473256732261,0.1979988834927814,1184,0.21002014194444013,0.2087473256732261,1184,53,333.0,1184.0,333.0,GATA3
CNOT10,0.1412113463656372,0.14568803792144105,80,0.2780522523971727,0.27184259213668965,90,0.20963179938140494,0.1412113463656372,90,54,80.0,90.0,80.0,GATA3
SIAH2,0.23975964340869782,0.24769906834850314,58,0.1769621754288727,0.19154451991509014,68,0.20836090941878527,0.1769621754288727,68,55,58.0,68.0,58.0,GATA3
CYP4V2,0.18801274774245555,0.19720084293701706,79,0.22684296481430277,0.22871051247657334,54,0.20742785627837917,0.18801274774245555,79,56,79.0,54.0,54.0,GATA3
ABCA5,0.18337849549366717,0.1956424563977949,32,0.23006062865318383,0.24345159122805823,34,0.2067195620734255,0.18337849549366717,34,57,32.0,34.0,32.0,GATA3
INTS6,0.1816773336925402,0.1859708501055775,43,0.23029309542242804,0.2331031847294077,82,0.20598521455748411,0.1816773336925402,82,58,43.0,82.0,43.0,GATA3
KTI12,0.20822575946362887,0.1937066082028156,825,0.20266321276837168,0.19971566710665434,729,0.20544448611600027,0.20266321276837168,825,59,825.0,729.0,729.0,GATA3
MED15,0.18241758769651786,0.18868013146408555,2050,0.22794516396890804,0.23846636189964093,1340,0.20518137583271295,0.18241758769651786,2050,60,2050.0,1340.0,1340.0,GATA3
ZNF641,0.15290564062685574,0.14693385990454383,95,0.2528867277754092,0.2398726535652485,765,0.20289618420113248,0.15290564062685574,765,61,95.0,765.0,95.0,GATA3
EXOC7,0.24093314294700566,0.23825946382409066,131,0.1641573964195821,0.17769073799049334,190,0.2025452696832939,0.1641573964195821,190,62,131.0,190.0,131.0,GATA3
GJC1,0.183618008446235,0.18257989119096657,132,0.21952513683371425,0.21013896254679515,133,0.2015715726399746,0.183618008446235,133,63,132.0,133.0,132.0,GATA3
CEP43,0.2189316605456562,0.2232817565044769,228,0.18400714155691372,0.1893159134120541,482,0.20146940105128497,0.18400714155691372,482,64,228.0,482.0,228.0,GATA3
SMIM7,0.19024849472238764,0.17108526737838084,45,0.21174826729872548,0.1948207524464293,131,0.20099838101055656,0.19024849472238764,131,65,45.0,131.0,45.0,GATA3
CHD2,0.19257673019602983,0.18958173238892592,28,0.2093227913150967,0.2044618963392123,32,0.20094976075556326,0.19257673019602983,32,66,28.0,32.0,28.0,GATA3
TARS2,0.21091376588906352,0.21903585919126303,1823,0.19083691951375734,0.20697878712233186,776,0.20087534270141044,0.19083691951375734,1823,67,1823.0,776.0,776.0,GATA3
AEBP2,0.10933678906974074,0.10533250716258952,54,0.2923365834387495,0.2880020080658029,509,0.20083668625424514,0.10933678906974074,509,68,54.0,509.0,54.0,GATA3
ELP1,0.18615368809068933,0.17898624441625802,827,0.2125788842202793,0.2129720133802211,135,0.1993662861554843,0.18615368809068933,827,69,827.0,135.0,135.0,GATA3
NAA20,0.23143214622017286,0.24742950055578772,562,0.16623767657242108,0.19338241957628727,240,0.19883491139629697,0.16623767657242108,562,70,562.0,240.0,240.0,GATA3
VARS2,0.20135389489077085,0.2100381561721949,783,0.19531198297003713,0.20610079537898088,1146,0.198332938930404,0.19531198297003713,1146,71,783.0,1146.0,783.0,GATA3
DDI2,0.2546406499554228,0.2560650613784004,22,0.13996721352737948,0.15766906518078422,28,0.19730393174140115,0.13996721352737948,28,72,22.0,28.0,22.0,GATA3
HAPSTR1,0.2637697500995367,0.2575443183801211,432,0.1279430371903272,0.13262255621227878,1152,0.19585639364493196,0.1279430371903272,1152,73,432.0,1152.0,432.0,GATA3
SOCS3,0.21299205735987659,0.20536225784466272,161,0.17674847235590285,0.17496027907888662,34,0.19487026485788972,0.17674847235590285,161,74,161.0,34.0,34.0,GATA3
CSDE1,0.14118862528920462,0.14060543370743644,1052,0.24838800785730797,0.24285711608201063,689,0.1947883165732563,0.14118862528920462,1052,75,1052.0,689.0,689.0,GATA3
PDSS2,0.22180232371433442,0.23175903231426323,2226,0.16495131804007945,0.17850474079754364,1431,0.19337682087720692,0.16495131804007945,2226,76,2226.0,1431.0,1431.0,GATA3
APOBEC3B,0.09855433424721505,0.10229355192614548,184,0.28788436596917316,0.2849488506279729,46,0.1932193501081941,0.09855433424721505,184,77,184.0,46.0,46.0,GATA3
IL21,0.20001876641069682,0.18538545041438637,120,0.1851644615607076,0.17500224725118932,107,0.1925916139857022,0.1851644615607076,120,78,120.0,107.0,107.0,GATA3
GLIPR2,0.14227042121060485,0.16099369519115828,1360,0.23895146305892298,0.24332535032234487,160,0.19061094213476393,0.14227042121060485,1360,79,1360.0,160.0,160.0,GATA3
STAT5B,0.20796546148447767,0.19335997331772453,594,0.17253522923950015,0.17867463255297245,1059,0.19025034536198893,0.17253522923950015,1059,80,594.0,1059.0,594.0,GATA3
RHBDF2,0.1747123145200904,0.15754516369500987,32,0.20535219896188556,0.1845241648550348,51,0.19003225674098798,0.1747123145200904,51,81,32.0,51.0,32.0,GATA3
YY1,0.1702068143426639,0.16409529229920272,960,0.20819192831660005,0.2053092504821942,473,0.189199371329632,0.1702068143426639,960,82,960.0,473.0,473.0,GATA3
CEP350,0.13211055595037893,0.14278772282557778,73,0.24509622788981206,0.2406482644880245,45,0.1886033919200955,0.13211055595037893,73,83,73.0,45.0,45.0,GATA3
ATF4,0.15592814157266977,0.16684808074830781,1061,0.22105330924810113,0.21959665192057573,392,0.18849072541038545,0.15592814157266977,1061,84,1061.0,392.0,392.0,GATA3
BAP1,0.255725786640649,0.24178884468497844,165,0.1208179555989901,0.11773214699549324,257,0.18827187111981955,0.1208179555989901,257,85,165.0,257.0,165.0,GATA3
PNPT1,0.20785148410752974,0.21191264301573015,1237,0.1672344120166221,0.1834736982273665,1068,0.18754294806207591,0.1672344120166221,1237,86,1237.0,1068.0,1068.0,GATA3
NSUN4,0.20318649410055153,0.20723358511462278,108,0.17058396340096393,0.18336503770582263,1025,0.18688522875075775,0.17058396340096393,1025,87,108.0,1025.0,108.0,GATA3
DNAAF2,0.16779899234210194,0.17471982344904308,200,0.203415786372386,0.19921156497198206,115,0.18560738935724397,0.16779899234210194,200,88,200.0,115.0,115.0,GATA3
RUNX2,0.1577747772326541,0.15991233926471235,22,0.21295695674246218,0.20804303879059913,34,0.18536586698755814,0.1577747772326541,34,89,22.0,34.0,22.0,GATA3
ZNF622,0.20143334071544397,0.2024583938380496,21,0.1690199177030712,0.1639602770896856,67,0.1852266292092576,0.1690199177030712,67,90,21.0,67.0,21.0,GATA3
